"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"200501","brazil","new",1789,384.024339128528,-1.1299052566307,"2005","01"
"200502","brazil","cumu",342907,73607.9564323902,-0.978764381441601,"2005","02"
"200502","brazil","new",316,67.8321359220876,-0.978764381441601,"2005","02"
"200503","brazil","new",253,54.3086404692664,-0.791422081490358,"2005","03"
"200503","brazil","cumu",343160,73662.2650728595,-0.791422081490358,"2005","03"
"200504","brazil","new",232,49.8008086516593,-0.829576121055413,"2005","04"
"200504","brazil","cumu",343392,73712.0658815111,-0.829576121055413,"2005","04"
"200505","brazil","new",797,171.082950411088,-0.875651941310745,"2005","05"
"200505","brazil","cumu",344189,73883.1488319222,-0.875651941310745,"2005","05"
"200506","brazil","new",1443,309.752443467002,-1.00186357438131,"2005","06"
"200506","brazil","cumu",345632,74192.9012753892,-1.00186357438131,"2005","06"
"200507","brazil","new",12208,2620.55289663559,-1.05227465457383,"2005","07"
"200507","brazil","cumu",357840,76813.4541720248,-1.05227465457383,"2005","07"
"200508","brazil","cumu",402803,86465.1514108376,-1.09029127258184,"2005","08"
"200508","brazil","new",44963,9651.69723881274,-1.09029127258184,"2005","08"
"200509","brazil","cumu",442258,94934.5087614894,-1.06051637912141,"2005","09"
"200509","brazil","new",39455,8469.3573506518,-1.06051637912141,"2005","09"
"200510","brazil","cumu",456053,97895.7249483413,-0.921187896228435,"2005","10"
"200510","brazil","new",13795,2961.2161868519,-0.921187896228435,"2005","10"
"200511","brazil","new",8804,1889.85482486728,-1.07808844714115,"2005","11"
"200511","brazil","cumu",464857,99785.5797732085,-1.07808844714115,"2005","11"
"200512","brazil","new",1900,407.851450164451,-0.871525960612689,"2005","12"
"200512","brazil","cumu",466757,100193.431223373,-0.871525960612689,"2005","12"
"200601","brazil","cumu",467454,100343.048307986,-0.755494640776973,"2006","01"
"200601","brazil","new",697,149.617084612959,-0.755494640776973,"2006","01"
"200602","brazil","cumu",467765,100409.807150618,-0.687636401776515,"2006","02"
"200602","brazil","new",311,66.7588426321812,-0.687636401776515,"2006","02"
"200603","brazil","cumu",468115,100484.937680912,-0.421024503221234,"2006","03"
"200603","brazil","new",350,75.1305302934515,-0.421024503221234,"2006","03"
