"Nspp","country","pct","year","fire"
2,"brazil",15,2003,"activeFire"
4,"brazil",15,2004,"activeFire"
25,"brazil",15,2005,"activeFire"
38,"brazil",15,2006,"activeFire"
65,"brazil",15,2007,"activeFire"
72,"brazil",15,2008,"activeFire"
79,"brazil",15,2009,"activeFire"
104,"brazil",15,2010,"activeFire"
111,"brazil",15,2011,"activeFire"
129,"brazil",15,2012,"activeFire"
132,"brazil",15,2013,"activeFire"
155,"brazil",15,2014,"activeFire"
171,"brazil",15,2015,"activeFire"
198,"brazil",15,2016,"activeFire"
247,"brazil",15,2017,"activeFire"
258,"brazil",15,2018,"activeFire"
287,"brazil",15,2019,"activeFire"
10,"amazon",5,2002,"activeFire"
105,"amazon",5,2003,"activeFire"
380,"amazon",5,2004,"activeFire"
668,"amazon",5,2005,"activeFire"
808,"amazon",5,2006,"activeFire"
1002,"amazon",5,2007,"activeFire"
1099,"amazon",5,2008,"activeFire"
1174,"amazon",5,2009,"activeFire"
1415,"amazon",5,2010,"activeFire"
1510,"amazon",5,2011,"activeFire"
1650,"amazon",5,2012,"activeFire"
1735,"amazon",5,2013,"activeFire"
1852,"amazon",5,2014,"activeFire"
2051,"amazon",5,2015,"activeFire"
2253,"amazon",5,2016,"activeFire"
2451,"amazon",5,2017,"activeFire"
2612,"amazon",5,2018,"activeFire"
2863,"amazon",5,2019,"activeFire"
1,"amazon",10,2002,"activeFire"
9,"amazon",10,2003,"activeFire"
53,"amazon",10,2004,"activeFire"
144,"amazon",10,2005,"activeFire"
209,"amazon",10,2006,"activeFire"
300,"amazon",10,2007,"activeFire"
348,"amazon",10,2008,"activeFire"
382,"amazon",10,2009,"activeFire"
455,"amazon",10,2010,"activeFire"
485,"amazon",10,2011,"activeFire"
516,"amazon",10,2012,"activeFire"
530,"amazon",10,2013,"activeFire"
571,"amazon",10,2014,"activeFire"
619,"amazon",10,2015,"activeFire"
654,"amazon",10,2016,"activeFire"
713,"amazon",10,2017,"activeFire"
752,"amazon",10,2018,"activeFire"
790,"amazon",10,2019,"activeFire"
0,"amazon",15,2002,"activeFire"
2,"amazon",15,2003,"activeFire"
6,"amazon",15,2004,"activeFire"
27,"amazon",15,2005,"activeFire"
46,"amazon",15,2006,"activeFire"
76,"amazon",15,2007,"activeFire"
85,"amazon",15,2008,"activeFire"
93,"amazon",15,2009,"activeFire"
124,"amazon",15,2010,"activeFire"
135,"amazon",15,2011,"activeFire"
155,"amazon",15,2012,"activeFire"
165,"amazon",15,2013,"activeFire"
190,"amazon",15,2014,"activeFire"
217,"amazon",15,2015,"activeFire"
243,"amazon",15,2016,"activeFire"
301,"amazon",15,2017,"activeFire"
318,"amazon",15,2018,"activeFire"
366,"amazon",15,2019,"activeFire"
