"year","id_country","fire_type","N","N_km","my_mean","year.y","month"
"200501","brazil","cumu",240851,51700.7524334517,-1.1299052566307,"2005","01"
"200502","brazil","new",25,5.36646644953225,-0.978764381441601,"2005","02"
"200502","brazil","cumu",240876,51706.1188999012,-0.978764381441601,"2005","02"
"200503","brazil","new",34,7.29839437136386,-0.791422081490358,"2005","03"
"200503","brazil","cumu",240910,51713.4172942726,-0.791422081490358,"2005","03"
"200504","brazil","new",171,36.7066305148006,-0.829576121055413,"2005","04"
"200504","brazil","cumu",241081,51750.1239247874,-0.829576121055413,"2005","04"
"200505","brazil","new",352,75.5598476094141,-0.875651941310745,"2005","05"
"200505","brazil","cumu",241433,51825.6837723968,-0.875651941310745,"2005","05"
"200506","brazil","cumu",242030,51953.8349912116,-1.00186357438131,"2005","06"
"200506","brazil","new",597,128.15121881483,-1.00186357438131,"2005","06"
"200507","brazil","cumu",247584,53146.0491776397,-1.05227465457383,"2005","07"
"200507","brazil","new",5554,1192.21418642808,-1.05227465457383,"2005","07"
"200508","brazil","cumu",284407,61050.4249404848,-1.09029127258184,"2005","08"
"200508","brazil","new",36823,7904.37576284504,-1.09029127258184,"2005","08"
"200509","brazil","new",33340,7156.71965709621,-1.06051637912141,"2005","09"
"200509","brazil","cumu",317747,68207.144597581,-1.06051637912141,"2005","09"
"200510","brazil","new",10081,2163.97393110938,-0.921187896228435,"2005","10"
"200510","brazil","cumu",327828,70371.1185286903,-0.921187896228435,"2005","10"
"200511","brazil","cumu",334683,71842.6036291521,-1.07808844714115,"2005","11"
"200511","brazil","new",6855,1471.48510046174,-1.07808844714115,"2005","11"
"200512","brazil","cumu",335032,71917.5195007876,-0.871525960612689,"2005","12"
"200512","brazil","new",349,74.9158716354702,-0.871525960612689,"2005","12"
"200601","brazil","new",156,33.4867506450812,-0.755494640776973,"2006","01"
"200601","brazil","cumu",335188,71951.0062514326,-0.755494640776973,"2006","01"
"200602","brazil","cumu",335233,71960.6658910418,-0.687636401776515,"2006","02"
"200602","brazil","new",45,9.65963960915805,-0.687636401776515,"2006","02"
"200603","brazil","cumu",335316,71978.4825596543,-0.421024503221234,"2006","03"
"200603","brazil","new",83,17.8166686124471,-0.421024503221234,"2006","03"
"200604","brazil","new",42,9.01566363521418,-0.239411201341568,"2006","04"
"200604","brazil","cumu",335358,71987.4982232895,-0.239411201341568,"2006","04"
"200605","brazil","cumu",335448,72006.8175025078,-0.0280501502558919,"2006","05"
"200605","brazil","new",90,19.3192792183161,-0.0280501502558919,"2006","05"
"200606","brazil","cumu",335741,72069.7124892963,0.0218850414621835,"2006","06"
"200606","brazil","new",293,62.894986788518,0.0218850414621835,"2006","06"
"200607","brazil","cumu",337083,72357.7844083072,0.0643826690292419,"2006","07"
"200607","brazil","new",1342,288.071919010891,0.0643826690292419,"2006","07"
"200608","brazil","new",11706,2512.79425032898,0.113588192115683,"2006","08"
"200608","brazil","cumu",348789,74870.5786586362,0.113588192115683,"2006","08"
"200609","brazil","new",20467,4393.41875290306,-0.302758899783964,"2006","09"
"200609","brazil","cumu",369256,79263.9974115392,-0.302758899783964,"2006","09"
"200610","brazil","cumu",373507,80176.5113666177,-0.429740605763006,"2006","10"
"200610","brazil","new",4251,912.513955078464,-0.429740605763006,"2006","10"
"200611","brazil","cumu",375348,80571.6979559613,-0.364601541853019,"2006","11"
"200611","brazil","new",1841,395.186589343555,-0.364601541853019,"2006","11"
"200612","brazil","new",546,117.203627257784,-0.537871062685451,"2006","12"
"200612","brazil","cumu",375894,80688.901583219,-0.537871062685451,"2006","12"
"200701","brazil","new",115,24.6857456678484,-0.823154457464575,"2007","01"
"200701","brazil","cumu",376009,80713.5873288869,-0.823154457464575,"2007","01"
"200702","brazil","new",933,200.276527896544,-1.01712598647375,"2007","02"
"200702","brazil","cumu",376942,80913.8638567834,-1.01712598647375,"2007","02"
"200703","brazil","new",650,139.528127687839,-1.01569880035333,"2007","03"
"200703","brazil","cumu",377592,81053.3919844713,-1.01569880035333,"2007","03"
"200704","brazil","new",27,5.79578376549483,-0.991649750738322,"2007","04"
"200704","brazil","cumu",377619,81059.1877682368,-0.991649750738322,"2007","04"
"200705","brazil","cumu",377680,81072.2819463736,-0.939156181023055,"2007","05"
"200705","brazil","new",61,13.0941781368587,-0.939156181023055,"2007","05"
"200706","brazil","cumu",378045,81150.6323565368,-0.904679837232222,"2007","06"
